subj,session,run,run_trial,context,cue_idx,cue,context_switch,cue_switch,hue_switch,ori_switch,hue,ori,congruent,hue_diff,ori_diff,hue_prop,ori_prop,hue_strength,ori_strength,context_prop,context_strength,iti_trs,iti,break,trial_time_tr,cue_time,stim_time,target_response,context_diff,distract_diff,distract_strength,distract_prop,cue_onset,stim_onset,correct,rt,response,key,stim_frames,dropped_frames,answered,log_switch_lag,log_switch_surprise
ti01,a,1,30,hue,1,3,True,True,hue,hue,green,right,True,easy,easy,0.64,0.75,0.14,0.25,0.64,0.14,3,2.16,False,238.0,171.38,172.08,True,easy,easy,0.25,0.75,171.365540028,172.08256197,True,0.817379951477,1.0,9.0,49,0,True,0.0,1.38629436112
ti01,a,1,31,hue,1,3,False,False,hue,hue,green,right,True,hard,easy,0.54,0.75,0.04,0.25,0.54,0.04,4,2.88,False,247.0,177.86,178.56,True,hard,easy,0.25,0.75,177.850781918,178.567662001,True,1.40111494064,1.0,9.0,84,0,True,0.69314718056,0.0
ti01,a,1,32,hue,1,3,False,False,hue,hue,red,left,True,hard,hard,0.46,0.47,0.04,0.03,0.46,0.04,0,0.0,True,257.0,185.06,185.76,False,hard,hard,0.03,0.47,185.03625989,185.769783974,True,1.46821689606,0.0,4.0,88,0,True,1.09861228867,0.0
ti01,a,1,33,ori,0,4,True,True,ori,ori,red,left,True,easy,easy,0.36,0.25,0.14,0.25,0.25,0.25,1,0.72,False,263.0,189.38,190.08,False,easy,easy,0.14,0.36,189.354259014,190.087826967,True,1.01813077927,0.0,4.0,61,0,True,0.0,0.69314718056
ti01,a,1,34,ori,1,5,False,True,ori,ori,green,right,True,easy,hard,0.64,0.53,0.14,0.03,0.53,0.03,1,0.72,False,270.0,194.42,195.12,True,hard,easy,0.14,0.64,194.405757904,195.122606993,False,1.38457918167,0.0,4.0,83,0,True,0.69314718056,0.0
ti01,a,1,35,ori,0,4,False,True,ori,ori,red,right,False,easy,hard,0.36,0.53,0.14,0.03,0.53,0.03,0,0.0,False,277.0,199.46,200.16,True,hard,easy,0.14,0.36,199.440565825,200.174352884,True,1.06797099113,1.0,9.0,64,0,True,1.09861228867,0.0
ti01,a,1,36,hue,1,3,True,True,hue,hue,red,right,False,hard,easy,0.46,0.75,0.04,0.25,0.46,0.04,0,0.0,False,283.0,203.78,204.48,False,hard,easy,0.25,0.75,203.758615971,204.492136955,False,1.46764087677,1.0,9.0,88,0,True,0.0,0.69314718056
ti01,a,1,37,ori,0,4,True,True,ori,ori,red,left,True,easy,hard,0.36,0.47,0.14,0.03,0.47,0.03,0,0.0,False,289.0,208.1,208.8,False,hard,easy,0.14,0.36,208.076684952,208.810056925,True,1.33512496948,0.0,4.0,80,0,True,0.0,0.0
ti01,a,1,38,ori,0,4,False,False,ori,ori,green,left,False,easy,hard,0.64,0.47,0.14,0.03,0.47,0.03,0,0.0,False,295.0,212.42,213.12,False,hard,easy,0.14,0.64,212.394615889,213.128288031,True,1.50110197067,0.0,4.0,90,0,True,0.69314718056,0.0
ti01,a,1,39,hue,0,6,True,True,hue,hue,green,left,False,hard,hard,0.54,0.47,0.04,0.03,0.54,0.04,0,0.0,False,301.0,216.74,217.44,True,hard,hard,0.03,0.47,216.729141951,217.446080923,True,0.917716026306,1.0,9.0,55,0,True,0.0,0.0
ti01,a,1,40,hue,0,6,False,False,hue,hue,green,right,True,easy,easy,0.64,0.75,0.14,0.25,0.64,0.14,1,0.72,False,307.0,221.06,221.76,True,easy,easy,0.25,0.75,221.046957016,221.763867855,True,0.868165969849,1.0,9.0,52,0,True,0.69314718056,0.0
ti01,a,1,41,ori,1,5,True,True,ori,ori,red,left,True,easy,easy,0.36,0.25,0.14,0.25,0.25,0.25,2,1.44,False,314.0,226.1,226.8,False,easy,easy,0.14,0.36,226.081923008,226.815446854,True,1.13441896439,0.0,4.0,68,0,True,0.0,0.0
ti01,a,1,42,ori,0,4,False,True,ori,ori,green,left,False,easy,easy,0.64,0.25,0.14,0.25,0.25,0.25,0,0.0,False,322.0,231.86,232.56,False,easy,easy,0.14,0.64,231.83365202,232.567359924,True,1.03461813927,0.0,4.0,62,0,True,0.69314718056,0.0
ti01,a,1,43,hue,1,3,True,True,hue,hue,green,left,False,easy,easy,0.64,0.25,0.14,0.25,0.64,0.14,0,0.0,False,328.0,236.18,236.88,True,easy,easy,0.25,0.25,236.168524981,236.885146856,True,0.88586807251,1.0,9.0,54,0,True,0.0,0.0
ti01,a,1,44,ori,0,4,True,True,ori,ori,green,right,True,easy,easy,0.64,0.75,0.14,0.25,0.75,0.25,2,1.44,False,334.0,240.5,241.2,True,easy,easy,0.14,0.64,240.486286879,241.20331502,True,0.901203155518,1.0,9.0,54,0,True,0.0,0.0
ti01,a,1,45,hue,0,6,True,True,hue,hue,green,left,False,easy,hard,0.64,0.47,0.14,0.03,0.64,0.14,2,1.44,False,342.0,246.26,246.96,True,easy,hard,0.03,0.47,246.238041878,246.971535921,True,0.951039075851,1.0,9.0,57,0,True,0.0,0.0
ti01,a,1,46,ori,1,5,True,True,ori,ori,red,right,False,hard,easy,0.46,0.75,0.04,0.25,0.75,0.25,2,1.44,False,350.0,252.02,252.72,True,easy,hard,0.04,0.46,252.006382942,252.723317862,True,1.00121593475,1.0,9.0,60,0,True,0.0,0.0
ti01,a,1,47,hue,1,3,True,True,hue,hue,red,right,False,hard,hard,0.46,0.53,0.04,0.03,0.46,0.04,1,0.72,False,358.0,257.78,258.48,False,hard,hard,0.03,0.53,257.758143902,258.491823912,True,1.61812591553,0.0,4.0,97,0,True,0.0,0.0
ti01,a,1,48,ori,1,5,True,True,ori,ori,red,right,False,hard,hard,0.46,0.53,0.04,0.03,0.53,0.03,5,3.6,True,365.0,262.82,263.52,True,hard,hard,0.04,0.46,262.809592962,263.526562929,True,1.40117621422,1.0,9.0,84,0,True,0.0,0.0
ti01,a,1,49,ori,1,5,False,False,ori,ori,green,left,False,easy,easy,0.64,0.25,0.14,0.25,0.25,0.25,3,2.16,False,376.0,270.74,271.44,False,easy,easy,0.14,0.64,270.712097883,271.445580959,True,0.934551954269,0.0,4.0,56,0,True,0.69314718056,0.0
ti01,a,1,50,hue,1,3,True,True,hue,hue,green,left,False,hard,hard,0.54,0.47,0.04,0.03,0.54,0.04,6,4.32,False,385.0,277.22,277.92,True,hard,hard,0.03,0.47,277.197430849,277.930847883,True,1.21814203262,1.0,9.0,73,0,True,0.0,0.0
ti01,a,1,51,hue,0,6,False,True,hue,hue,red,right,False,hard,easy,0.46,0.75,0.04,0.25,0.46,0.04,0,0.0,False,397.0,285.86,286.56,False,hard,easy,0.25,0.75,285.849906921,286.56683588,False,1.40130281448,1.0,9.0,84,0,True,0.69314718056,0.0
ti01,a,1,52,hue,0,6,False,False,hue,hue,red,right,False,easy,hard,0.36,0.53,0.14,0.03,0.36,0.14,5,3.6,False,403.0,290.18,290.88,False,easy,hard,0.03,0.53,290.167989969,290.884856939,True,0.917371034622,0.0,4.0,55,0,True,1.09861228867,0.0
